,,,,Overall,Overall,SRS,SRS,SRS,Scoring,Scoring,Passing,Passing,Rushing,Rushing,Total,Total
Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Off,Def,Off,Def,Off,Def,Off,Def
1,Florida State,ACC (Atlantic),1,14,0,8.57,14.79,23.36,66.14,-1.04,11.12,3.83,6.38,2.52,8.64,3.07
2,Oregon,Pac-12 (North),9,11,2,12.56,8.70,21.27,62.18,3.32,11.01,4.24,7.23,3.06,8.86,3.44
3,Alabama,SEC (West),7,11,2,5.72,14.35,20.06,54.17,-1.30,10.12,5.21,6.72,2.12,8.27,3.52
4,Missouri,SEC (East),5,12,2,11.89,8.08,19.97,55.06,4.80,9.08,4.94,6.52,2.95,7.67,4.02
5,Stanford,Pac-12 (North),11,11,3,5.99,12.97,18.96,50.74,-1.97,10.57,4.59,6.04,1.88,7.75,3.30
6,Auburn,SEC (West),2,12,2,13.60,5.21,18.80,57.88,5.89,10.21,5.67,7.41,3.30,8.32,4.40
7,Arizona State,Pac-12 (South),21,10,4,13.67,3.83,17.50,59.77,7.46,9.54,5.57,5.61,2.86,7.38,4.01
8,UCLA,Pac-12 (South),16,10,3,10.15,6.95,17.10,54.70,4.91,9.99,4.76,5.41,2.96,7.38,3.72
9,Baylor,Big 12,13,11,2,12.51,4.35,16.87,66.98,9.97,11.89,5.33,6.01,2.99,8.56,3.91
10,Oklahoma State,Big 12,17,10,3,10.19,6.64,16.83,55.07,5.91,9.03,4.50,5.27,2.87,7.13,3.66
11,South Carolina,SEC (East),4,11,2,7.99,8.07,16.06,52.47,3.92,10.27,5.46,5.90,3.15,7.75,4.15
12,Ohio State,Big Ten (Leaders),12,12,2,10.77,4.87,15.65,59.32,8.52,8.83,5.92,7.90,2.67,8.25,4.35
13,Washington,Pac-12 (North),25,9,4,6.41,8.71,15.12,54.15,3.14,9.64,4.15,6.08,3.23,7.59,3.54
14,Clemson,ACC (Atlantic),8,11,2,9.21,5.77,14.98,55.77,6.57,10.10,5.57,5.29,2.61,7.57,3.83
15,Michigan State,Big Ten (Legends),3,13,1,1.23,13.51,14.74,43.26,0.00,8.04,4.06,5.16,2.02,6.43,3.07
16,LSU,SEC (West),14,10,3,8.87,5.72,14.59,52.58,6.89,11.33,5.04,6.03,2.70,8.12,3.74
17,Wisconsin,Big Ten (Leaders),22,9,4,2.69,11.51,14.20,49.17,1.42,8.25,5.01,7.48,2.28,7.81,3.68
18,USC,Pac-12 (South),19,10,4,4.08,9.65,13.72,46.42,2.12,9.45,4.29,5.75,3.22,7.36,3.65
19,Texas A&M,SEC (West),18,9,4,16.81,-3.43,13.38,60.55,16.30,10.62,6.13,6.17,4.19,8.48,5.08
20,Oklahoma,Big 12,6,11,2,6.42,6.77,13.19,49.25,5.80,8.50,5.42,6.05,3.40,7.16,4.27
21,Georgia,SEC (East),,8,5,13.03,-0.21,12.82,55.52,11.35,10.42,6.01,5.63,2.48,7.96,4.08
22,Arizona,Pac-12 (South),,8,5,5.72,6.89,12.60,49.17,6.16,8.02,5.04,6.31,3.21,7.03,3.93
23,Ole Miss,SEC (West),,8,5,4.24,6.19,10.42,45.72,5.60,8.72,5.15,5.67,2.63,7.13,3.78
24,BYU,Ind,,8,5,5.85,4.38,10.23,47.90,6.67,8.01,4.81,6.30,2.77,7.06,3.72
25,Kansas State,Big 12,,8,5,6.13,3.88,10.01,46.82,8.26,10.58,5.03,5.16,3.48,7.34,4.21
26,Louisville,American,15,12,1,-0.18,10.18,9.99,45.83,3.69,9.88,5.16,4.88,2.35,7.41,3.57
27,Notre Dame,Ind,20,9,4,3.00,6.51,9.50,44.57,6.92,9.07,4.96,5.72,3.32,7.40,4.07
28,UCF,American,10,12,1,6.19,2.24,8.42,47.93,10.66,9.95,5.60,5.53,3.79,7.64,4.68
29,Oregon State,Pac-12 (North),,7,6,9.08,-0.97,8.11,50.68,13.31,9.22,5.68,4.63,4.39,7.56,4.87
30,Vanderbilt,SEC (East),24,9,4,4.66,3.34,8.01,44.88,10.57,8.97,4.80,4.34,3.32,6.37,3.99
31,Duke,ACC (Coastal),23,10,4,6.80,1.06,7.86,48.45,11.21,8.65,6.02,5.61,3.55,7.06,4.58
32,Mississippi State,SEC (West),,7,6,-0.28,8.00,7.72,44.45,4.62,8.59,4.95,5.66,2.96,7.01,3.91
33,Texas,Big 12,,8,5,3.09,4.36,7.45,45.65,7.66,8.17,5.32,5.24,3.46,6.58,4.16
34,Iowa,Big Ten (Legends),,8,5,-0.90,8.22,7.31,40.82,4.87,8.15,4.72,5.17,2.57,6.39,3.57
35,Georgia Tech,ACC (Coastal),,7,6,2.01,5.19,7.21,51.24,7.60,9.78,6.08,6.65,2.77,7.43,4.38
36,Utah,Pac-12 (South),,5,7,4.51,2.45,6.96,48.89,8.14,9.15,5.57,5.31,2.53,7.09,3.94
37,Utah State,MWC (Mountain),,9,5,-4.34,11.04,6.70,41.04,2.52,7.26,5.67,4.85,1.80,6.06,3.50
38,Miami (FL),ACC (Coastal),,9,4,8.33,-1.74,6.59,52.59,13.90,10.77,6.21,6.05,3.90,8.31,4.91
39,Virginia Tech,ACC (Coastal),,8,5,-3.85,10.26,6.41,38.38,1.56,8.31,4.46,4.25,2.23,6.20,3.17
40,North Carolina,ACC (Coastal),,7,6,3.53,2.69,6.22,47.91,9.65,9.14,5.35,4.91,3.35,6.99,4.15
41,Michigan,Big Ten (Legends),,7,6,5.97,-0.43,5.53,48.55,13.12,9.50,5.81,4.37,3.00,6.65,4.35
42,Texas Tech,Big 12,,8,5,7.13,-1.81,5.32,50.62,15.03,8.67,5.19,4.47,3.94,7.06,4.39
43,Minnesota,Big Ten (Legends),,8,5,-0.07,5.34,5.27,39.00,8.56,8.41,5.97,5.17,3.68,6.22,4.71
44,Nebraska,Big Ten (Legends),,9,4,3.38,1.84,5.22,45.25,12.23,7.88,6.04,5.83,3.33,6.69,4.37
45,Washington State,Pac-12 (North),,6,7,4.54,0.55,5.09,47.69,13.00,7.80,5.83,3.88,3.26,6.75,4.39
46,Fresno State,MWC (West),,11,2,10.17,-5.13,5.04,51.92,19.60,8.10,7.36,5.25,3.13,7.12,4.96
47,Houston,American,,8,5,2.50,2.43,4.93,46.76,11.26,8.10,6.17,5.24,3.08,6.82,4.43
48,Bowling Green,MAC (East),,10,4,-1.75,6.64,4.89,42.47,8.55,9.33,5.58,4.88,4.10,6.85,4.69
49,Florida,SEC (East),,4,8,-4.77,9.44,4.67,35.69,2.10,8.00,4.55,4.63,2.96,6.02,3.67
50,Indiana,Big Ten (Leaders),,5,7,13.42,-9.01,4.41,55.29,23.57,9.19,7.16,6.34,4.37,7.75,5.64
51,East Carolina,CUSA (East),,10,3,7.16,-2.87,4.30,49.07,17.79,8.20,6.19,4.31,3.22,6.60,4.65
52,Tennessee,SEC (East),,5,7,-0.71,5.00,4.29,42.37,10.50,7.25,5.22,6.03,3.98,6.60,4.53
53,Navy,Ind,,9,4,1.23,3.03,4.26,42.73,11.89,7.87,6.21,5.97,3.73,6.36,4.70
54,Boise State,MWC (Mountain),,8,5,2.27,1.62,3.88,47.04,12.03,8.25,6.46,5.14,2.98,6.69,4.37
55,Pitt,ACC (Coastal),,7,6,3.74,-0.02,3.72,42.76,10.95,9.14,6.13,4.21,2.83,6.64,4.25
56,Northern Illinois,MAC (West),,12,2,8.19,-4.63,3.56,47.75,20.12,7.73,7.06,6.59,3.73,7.19,5.20
57,Penn State,Big Ten (Leaders),,7,5,0.34,3.05,3.40,41.68,11.54,8.36,5.71,4.78,2.69,6.43,4.12
58,Marshall,CUSA (East),,10,4,5.77,-2.69,3.07,50.27,17.47,8.43,6.45,5.43,3.74,7.02,4.74
59,North Texas,CUSA (West),,9,4,-2.50,5.55,3.05,39.08,9.94,7.61,6.49,4.65,3.47,6.07,4.84
60,Syracuse,ACC (Atlantic),,7,6,-3.95,6.76,2.81,39.36,11.13,7.09,5.60,5.81,3.15,6.38,4.35
61,Ball State,MAC (West),,10,3,6.64,-4.35,2.29,45.48,19.99,8.28,6.90,4.52,4.35,6.71,5.41
62,Texas Christian,Big 12,,4,8,-0.67,2.61,1.94,39.88,8.21,8.06,4.95,4.30,2.62,6.24,3.62
63,Boston College,ACC (Atlantic),,7,6,4.48,-3.20,1.28,43.86,15.36,8.93,7.14,6.14,3.27,7.25,4.93
64,Northwestern,Big Ten (Legends),,5,7,1.75,-0.55,1.20,41.12,13.33,8.38,6.04,5.12,3.12,6.51,4.50
65,Maryland,ACC (Atlantic),,7,6,-0.79,1.43,0.64,40.39,13.63,9.04,5.91,5.01,3.32,6.98,4.39
66,Cincinnati,American,,9,4,-0.68,1.09,0.41,42.68,13.20,9.10,5.76,5.08,3.17,7.07,4.29
67,Rice,CUSA (West),,10,4,-0.25,0.39,0.15,39.57,14.91,7.63,6.64,4.87,3.57,5.92,4.76
68,Wake Forest,ACC (Atlantic),,4,8,-7.10,7.10,0.00,32.83,8.86,6.80,5.06,3.69,2.76,5.37,3.81
69,Toledo,MAC (West),,7,5,4.76,-4.79,-0.03,43.49,19.65,7.48,7.97,6.30,3.56,6.92,5.32
70,Colorado State,MWC (Mountain),,8,6,4.61,-4.84,-0.23,44.82,18.20,8.02,7.21,5.38,3.21,6.76,5.00
71,Western Kentucky,Sun Belt,,8,4,-0.01,-0.51,-0.52,39.65,16.42,7.92,6.50,5.36,3.69,6.68,4.83
72,Arkansas,SEC (West),,3,9,-3.16,1.84,-1.32,37.15,14.27,7.18,6.10,6.42,3.62,6.74,4.69
73,Buffalo,MAC (East),,8,5,-1.75,0.27,-1.48,38.26,16.27,7.21,7.03,4.28,3.83,5.72,5.11
74,Arkansas State,Sun Belt,,8,5,-1.34,-0.53,-1.86,38.18,15.92,7.55,6.30,5.13,4.23,6.12,5.10
75,Colorado,Pac-12 (South),,4,8,0.13,-2.12,-1.99,41.46,19.26,8.66,5.90,4.11,4.07,6.41,4.84
76,Louisiana,Sun Belt,,9,4,1.86,-3.87,-2.01,42.19,19.69,9.03,7.30,5.08,3.86,6.58,5.35
77,South Alabama,Sun Belt,,6,6,1.28,-3.72,-2.44,38.94,17.54,8.08,7.08,4.65,3.74,6.28,5.20
78,UTSA,CUSA (West),,7,5,-3.11,0.10,-3.01,35.70,14.68,7.35,6.56,5.37,3.21,6.51,4.78
79,Tulane,CUSA (West),,7,6,-4.37,1.15,-3.22,34.68,13.74,6.33,6.91,4.03,2.74,5.20,4.58
80,San Jose State,MWC (West),,6,6,5.04,-8.32,-3.28,44.70,22.57,9.33,6.53,4.64,4.58,7.24,5.40
81,Kentucky,SEC (East),,2,10,-2.99,-0.52,-3.51,38.85,16.43,8.35,6.80,5.24,4.04,6.65,5.13
82,Florida Atlantic,CUSA (East),,6,6,-6.44,2.91,-3.53,34.38,12.21,7.00,4.97,4.72,4.03,5.81,4.30
83,Iowa State,Big 12,,3,9,-0.69,-2.89,-3.57,40.75,20.51,8.02,5.69,4.44,4.72,6.15,5.08
84,Nevada,MWC (West),,4,8,-1.70,-1.90,-3.60,38.41,18.15,8.04,6.70,4.80,5.85,6.29,6.07
85,Middle Tennessee State,CUSA (East),,8,5,-0.97,-2.74,-3.71,38.03,17.55,7.18,6.48,5.34,4.06,6.28,4.92
86,West Virginia,Big 12,,4,8,0.29,-4.02,-3.74,40.88,18.36,8.30,6.48,4.92,3.92,6.71,4.92
87,Illinois,Big Ten (Leaders),,4,8,3.96,-7.82,-3.86,44.56,21.30,8.89,7.28,5.11,4.58,7.09,5.65
88,Nevada-Las Vegas,MWC (West),,7,6,0.73,-4.63,-3.90,39.87,20.82,6.78,6.04,4.88,4.46,5.95,5.06
89,San Diego State,MWC (West),,8,5,-1.19,-3.49,-4.68,36.78,18.22,7.42,6.02,4.33,2.95,5.94,4.34
90,Virginia,ACC (Coastal),,2,10,-6.11,1.17,-4.94,37.14,14.93,6.49,5.32,4.97,3.37,5.78,4.19
91,Troy,Sun Belt,,6,6,3.05,-8.38,-5.33,44.29,26.74,8.61,8.85,4.32,3.70,6.64,5.99
92,North Carolina State,ACC (Atlantic),,3,9,-2.56,-3.10,-5.66,37.53,16.31,7.92,5.80,4.75,4.39,6.26,4.93
93,Rutgers,American,,6,7,-1.75,-3.93,-5.68,37.97,19.01,7.63,6.92,4.47,2.52,6.11,4.75
94,Ohio,MAC (East),,7,6,-3.05,-2.72,-5.77,36.79,21.11,7.78,7.02,4.01,4.60,5.97,5.48
95,Louisiana-Monroe,Sun Belt,,6,6,-6.34,-0.47,-6.81,33.22,19.30,6.60,6.22,4.52,4.43,5.76,5.19
96,Memphis,American,,3,9,-7.99,0.58,-7.41,32.18,13.61,6.67,6.09,4.60,2.82,5.61,4.32
97,SMU,American,,5,7,-0.67,-6.77,-7.44,39.24,21.40,7.62,6.42,4.38,3.40,6.52,4.71
98,California,Pac-12 (North),,1,11,0.74,-9.32,-8.58,42.03,25.56,8.29,7.52,4.55,3.71,6.68,5.48
99,Kansas,Big 12,,3,9,-10.02,1.44,-8.58,30.03,16.10,6.55,5.88,4.50,4.09,5.45,4.82
100,Wyoming,MWC (Mountain),,5,7,-1.42,-7.95,-9.36,38.60,25.34,7.28,7.42,5.69,4.01,6.68,5.30
101,Kent State,MAC (East),,4,8,-8.05,-1.55,-9.60,30.62,17.99,6.79,7.23,5.47,4.70,6.17,5.58
102,Akron,MAC (East),,5,7,-7.35,-2.51,-9.86,29.42,19.04,6.56,6.54,3.73,3.67,5.26,4.88
103,Temple,American,,2,10,-2.73,-7.57,-10.30,36.38,19.85,7.92,7.51,5.18,4.17,6.61,5.61
104,Texas State,Sun Belt,,6,6,-7.36,-3.17,-10.53,29.18,19.28,6.25,6.09,4.67,4.01,5.41,4.89
105,Hawaii,MWC (West),,1,11,-0.88,-10.25,-11.13,39.64,24.76,7.66,7.39,3.78,3.64,6.03,5.02
106,Tulsa,CUSA (West),,3,9,-5.83,-5.94,-11.77,33.32,22.22,5.87,6.24,4.72,4.07,5.37,4.92
107,Central Michigan,MAC (West),,6,6,-9.23,-2.74,-11.97,28.88,21.62,7.35,7.44,3.84,4.57,5.60,5.57
108,Connecticut,American,,3,9,-7.66,-4.31,-11.97,33.27,19.89,7.29,6.53,3.65,3.39,5.63,4.72
109,Army,Ind,,3,9,-5.22,-7.13,-12.36,33.68,22.63,6.26,8.90,5.92,4.47,6.04,5.91
110,Purdue,Big Ten (Leaders),,1,11,-9.47,-2.96,-12.43,30.73,21.25,7.37,6.36,3.65,3.93,5.75,4.88
111,South Florida,American,,2,10,-11.38,-2.17,-13.56,28.30,16.69,6.88,6.33,4.15,3.39,5.52,4.49
112,New Mexico,MWC (Mountain),,3,9,0.33,-14.44,-14.10,41.56,31.73,7.83,8.81,6.81,5.64,7.05,6.77
113,Air Force,MWC (Mountain),,2,10,-4.16,-10.72,-14.88,35.08,28.69,7.64,8.42,5.43,4.14,6.04,5.66
114,Louisiana Tech,CUSA (West),,4,8,-9.93,-5.74,-15.66,26.76,22.46,5.57,7.51,4.98,4.06,5.49,5.35
115,UAB,CUSA (East),,2,10,-1.77,-14.05,-15.82,35.75,33.68,7.94,8.65,5.33,5.43,6.59,6.67
116,UTEP,CUSA (West),,2,10,-8.65,-9.52,-18.17,29.93,30.94,6.83,9.58,4.43,5.62,5.39,6.99
117,Western Michigan,MAC (West),,1,11,-10.43,-8.73,-19.16,27.08,27.35,6.07,6.35,3.99,4.82,5.22,5.32
118,Idaho,Ind,,1,11,-9.43,-9.87,-19.30,29.13,33.60,7.21,7.70,3.90,4.68,5.47,5.95
119,New Mexico State,Ind,,2,10,-7.85,-11.51,-19.36,30.52,34.34,7.53,8.11,4.24,6.21,5.94,7.04
120,Georgia State,Sun Belt,,0,12,-9.64,-10.56,-20.20,27.46,27.97,7.46,7.79,3.85,4.41,5.87,5.65
121,Massachusetts,MAC (East),,1,11,-15.27,-5.13,-20.40,22.72,24.81,6.37,7.97,3.77,5.14,4.99,6.17
122,Southern Mississippi,CUSA (East),,1,11,-12.24,-8.89,-21.13,27.54,32.89,6.60,7.70,3.09,4.21,5.31,5.41
123,Eastern Michigan,MAC (West),,2,10,-10.15,-12.69,-22.84,27.64,35.98,6.56,9.36,4.68,5.83,5.62,7.07
124,Miami (OH),MAC (East),,0,12,-18.67,-4.82,-23.48,20.12,26.56,5.58,7.42,2.88,4.85,4.12,5.75
125,Florida International,CUSA (East),,1,11,-19.13,-4.40,-23.53,18.11,27.64,6.26,7.87,2.51,4.88,4.17,5.89
