"name","college_team","college_conference","position","height","weight","season_before_draft","rushing_car","rushing_yds","rushing_td","rushing_ypc","receiving_rec","receiving_yds","receiving_td","receiving_ypr","regular_season_games","regular_season_wins","regular_season_losses","postseason_games","postseason_wins","postseason_losses","forty","bench","vertical","broad_jump","cone","shuttle","attended_combine","Rk","Conf","AP.Rank","W","L","OSRS","DSRS","SRS","Off","Def","Off.1","Def.1","Off.2","Def.2","Off.3","Def.3","rushing_yds_pg","rushing_td_pg","receiving_yds_pg","pred_pick_lm","pred_pick_rf","prob_1st_round"
"Jeremiyah Love","Notre Dame","FBS Independents","Running Back",72,214,2025,199,1372,18,6.9,27,280,3,10.4,12,10,2,0,0,0,4.42,NA,NA,NA,NA,NA,"Y",3,"Ind",10,10,2,11.67,10.19,21.85,61.92,-3.92,11.45,3.68,7.39,1.24,9.02,2.58,114.333333333333,1.5,23.3333333333333,65.6367009595429,55.0025333333334,0.591332805364674
"Jadarian Price","Notre Dame","FBS Independents","Running Back",71,210,2025,113,674,11,6,6,87,2,14.5,12,10,2,0,0,0,4.49,21,35,124,NA,NA,"Y",3,"Ind",10,10,2,11.67,10.19,21.85,61.92,-3.92,11.45,3.68,7.39,1.24,9.02,2.58,56.1666666666667,0.916666666666667,7.25,123.123591399736,104.037366666667,0.08680811504926
"Jonah Coleman","Washington","Big Ten","Running Back",69,220,2025,156,758,15,4.9,31,354,2,11.4,13,9,4,0,0,0,NA,22,NA,NA,NA,NA,"Y",17,"Big Ten",NA,9,4,6.95,6.05,13,54.53,0.75,10.78,4.13,6.01,1.81,8.04,3.18,58.3076923076923,1.15384615384615,27.2307692307692,99.7400320266718,118.216966666667,0.0862258776628016
"Emmett Johnson","Nebraska","Big Ten","Running Back",71,200,2025,251,1451,12,5.8,46,370,3,8,13,7,6,0,0,0,4.56,16,35.5,120,7.32,4.29,"Y",64,"Big Ten",NA,7,6,1.04,1.18,2.22,48.48,5.32,9.81,4.67,5.65,3.06,7.46,3.76,111.615384615385,0.923076923076923,28.4615384615385,119.470792775743,101.8131,0.0301639765712689
"Nicholas Singleton","Penn State","Big Ten","Running Back",72,221,2025,123,549,13,4.5,24,219,1,9.1,13,7,6,0,0,0,NA,NA,NA,NA,NA,NA,"Y",26,"Big Ten",NA,7,6,6.18,3.94,10.12,51.99,0.63,9.41,4.48,6.23,2.49,7.47,3.48,42.2307692307692,1,16.8461538461538,120.755189364051,133.615333333333,0.0203151018140199
"Kaytron Allen","Penn State","Big Ten","Running Back",71,220,2025,210,1303,15,6.2,18,68,0,7,13,7,6,0,0,0,NA,NA,NA,NA,NA,NA,"Y",26,"Big Ten",NA,7,6,6.18,3.94,10.12,51.99,0.63,9.41,4.48,6.23,2.49,7.47,3.48,100.230769230769,1.15384615384615,5.23076923076923,117.926613664265,111.522566666667,0.0412630211069433
"Desmond Claiborne","Wake Forest","ACC","Running Back",69,187,2025,179,907,10,5.1,28,140,0,5,13,9,4,0,0,0,4.37,NA,NA,122,NA,NA,"Y",47,"ACC",NA,9,4,1.41,4.64,6.04,43.76,4.43,8.98,3.91,5.87,1.87,7.31,2.91,69.7692307692308,0.769230769230769,10.7692307692308,156.50007033673,150.210866666667,0.00602468235331942
"Mike Washington Jr.","Arkansas","SEC","Running Back",72,228,2025,167,1070,8,6.4,28,226,1,8.1,12,2,10,0,0,0,4.33,NA,39,128,NA,NA,"Y",65,"SEC",NA,2,10,7.75,-5.57,2.18,53.47,11.89,10.42,6.39,7.67,2.9,8.92,4.38,89.1666666666667,0.666666666666667,18.8333333333333,139.178529474782,164.3943,0.0152512287124243
"J'Mari Taylor","Virginia","ACC","Running Back",69,205,2025,222,1062,14,4.8,43,253,1,5.9,14,11,3,0,0,0,NA,20,34.5,115,NA,NA,"Y",23,"ACC",16,11,3,5.07,5.94,11.01,47.89,2.23,8.67,5.05,6.21,1.92,7.31,3.38,75.8571428571429,1,18.0714285714286,125.268505067394,160.8319,0.0185562119969783
"Terion Stewart","Virginia Tech","ACC","Running Back",69,222,2025,82,469,0,5.7,4,19,0,4.8,12,3,9,0,0,0,NA,NA,NA,NA,NA,NA,"N",87,"ACC",NA,3,9,-0.42,-2.36,-2.78,42.18,9.67,8.38,5.34,6.77,2.38,7.38,3.75,39.0833333333333,0,1.58333333333333,253.857604270839,203.762133333333,0.000433990654262868
"Seth McGowan","Kentucky","SEC","Running Back",71,215,2025,165,725,12,4.4,19,126,0,6.6,12,5,7,0,0,0,4.49,NA,42.5,131,NA,4.5,"Y",66,"SEC",NA,5,7,-0.65,2.71,2.06,43.39,5.53,8.52,5.91,5.83,1.79,6.97,3.66,60.4166666666667,1,10.5,136.6587214993,139.5895,0.00749332567791745
"Jaydn Ott","Oklahoma","SEC","Running Back",71,208,2025,21,68,0,3.2,2,10,0,5,13,10,3,0,0,0,NA,NA,NA,NA,NA,NA,"N",16,"SEC",13,10,3,1.65,11.53,13.18,46.62,-5.22,9.32,4.18,5.46,0.79,7.29,2.5,5.23076923076923,0,0.769230769230769,250.392579245516,190.140233333333,0.000413966092568567
"Le'Veon Moss","Texas A&M","SEC","Running Back",71,210,2025,77,404,6,5.2,2,3,0,1.5,12,11,1,1,0,1,NA,NA,NA,NA,NA,NA,"Y",7,"SEC",8,11,2,11.49,6.12,17.62,55.06,0.02,10.41,3.84,6.89,2.33,8.38,3.13,31.0769230769231,0.461538461538462,0.230769230769231,163.574169581841,141.583866666667,0.00561864130864874
"Kaelon Black","Indiana","Big Ten","Running Back",70,210,2025,186,1040,10,5.6,4,36,0,9,13,13,0,3,3,0,NA,NA,NA,NA,NA,NA,"N",1,"Big Ten",1,16,0,10.06,15.42,25.48,64.98,-9.07,11.9,3.97,7.03,1.32,8.85,2.92,65,0.625,2.25,195.70589144128,146.477033333333,0.0200023871874016
